city_nm2,town_nm,交易車位,小坪數物件,建物型態,主要用途,主要建材,有無管理組織,車位類別,電梯,firstfloor_ind,shop_ind,building_type2,col2_ind,villname,都市土地使用分區,非都市土地使用編定,土地移轉總面積(坪),建物移轉總面積(坪),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,車位移轉總面積(坪),主建物面積,附屬建物面積,陽台面積,house_age,交易筆棟數_土地,交易筆棟數_建物,交易筆棟數_停車位,building_area_no_park,single_floor_area,far,floor,total_floor,x座標,y座標,larea_utilize_ratio,park_cnt_flat,park_cnt_mach,n_a_10,n_a_50,n_a_100,n_a_250,n_a_500,n_a_1000,n_a_5000,n_a_10000,n_c_10,n_c_50,n_c_100,n_c_250,n_c_500,n_c_1000,n_c_5000,n_c_10000,area_kilometer,population_density,house_price_index,unemployment_rate,econ_rate,lending_rate,land_tx_count,land_price,steel_id,price_pin
7,202,0,0,3,588,111,1,2,0,0,0,1,0,3418,13,0,1.7990577717091665,3.269544224049405,3.0,2.0,2.0,1.0,0.0,4.465218225560646,0.0,0.0,37.34154688569473,5.0,1.0,0.0,3.269544224049405,3.269544224049405,4.351351351351351,2.0,7.0,302926.0033340197,2766309.999824835,4.351351351351351,0.0,0.0,0.0,1.0,2.0,8.0,11.0,13.0,22.0,25.0,0.0,4.0,21.0,41.0,71.0,97.0,148.0,156.0,1.7428843014459183,38956.0,100.08,0.0387,-0.007,0.01976,125666.0,101.86,694.35,334609.0302612042
7,202,0,0,3,588,111,1,2,0,0,0,1,0,3418,13,0,1.2766538660698994,2.806555271803054,2.0,1.0,1.0,1.0,0.0,4.002229273314295,0.0,0.0,38.09445585215606,5.0,1.0,0.0,2.806555271803054,2.806555271803054,4.6177215189873415,7.0,7.0,302916.0033321254,2766319.999824846,4.6177215189873415,0.0,0.0,0.0,2.0,2.0,8.0,11.0,13.0,22.0,25.0,1.0,10.0,24.0,41.0,73.0,98.0,148.0,156.0,1.7428843014459183,38956.0,100.76,0.0387,0.0113,0.0174,112287.0,101.73,696.39,355226.9102508337
7,202,0,0,3,588,111,1,2,0,0,0,1,0,3418,13,0,1.872378933622376,3.2969991532497045,3.0,2.0,1.0,1.0,0.0,4.492673154760945,0.0,0.0,37.51676933607119,5.0,1.0,0.0,3.2969991532497045,3.2969991532497045,4.156279069767441,7.0,7.0,302915.00333193707,2766318.999824847,4.156279069767441,0.0,0.0,0.0,2.0,2.0,8.0,11.0,13.0,22.0,25.0,1.0,10.0,24.0,41.0,73.0,98.0,148.0,156.0,1.7428843014459183,38956.0,99.6,0.0389,-0.0079,0.01911,175515.0,101.88,645.59,443928.1724217022
7,202,0,0,3,588,111,1,2,0,0,0,1,0,3405,13,0,1.868651063508362,3.669550089811157,3.0,2.0,2.0,1.0,0.0,4.667111587528274,1.1537315878891892,1.5539252025038417,30.819986310746064,1.0,1.0,0.0,3.669550089811157,3.669550089811157,6.0550887021475255,4.0,7.0,302947.0033378954,2766499.9998247344,6.0550887021475255,0.0,0.0,0.0,1.0,3.0,6.0,11.0,13.0,22.0,25.0,1.0,8.0,12.0,31.0,73.0,99.0,149.0,156.0,1.7428843014459183,38956.0,104.14,0.0372,0.037,0.01613,151744.0,100.82,1099.33,370849.4491420124
7,202,0,0,3,588,111,0,2,0,0,0,1,0,3405,13,0,1.868651063508362,3.669550089811157,3.0,2.0,2.0,1.0,0.0,4.667111587528274,1.1537315878891892,1.5539252025038417,30.203969883641346,1.0,1.0,0.0,3.669550089811157,3.669550089811157,6.0550887021475255,3.0,7.0,302951.0033386529,2766496.9998247307,6.0550887021475255,0.0,0.0,0.0,1.0,3.0,6.0,11.0,13.0,22.0,25.0,1.0,8.0,12.0,31.0,72.0,99.0,149.0,156.0,1.7428843014459183,38956.0,101.59,0.0369,0.0299,0.01622,142271.0,100.65,1006.62,351733.4981553107
